Mağaza,Ürün Grubu,Gerçek Satış Ortalaması,Tahmin Ortalaması,Ortalama Hata (%),Yorum
23,PERSONAL CARE,140.40431738623104,141.3646147858984,inf,Tahmin fazla (overpredict)
23,POULTRY,296.56919348774795,294.9670745341315,inf,Tahmin fazla (overpredict)
23,PREPARED FOODS,49.50682438506418,47.405431467848885,inf,Tahmin fazla (overpredict)
26,DELI,91.02991839789964,92.72185703642326,inf,Tahmin fazla (overpredict)
26,EGGS,41.87747957992999,43.6442838178305,inf,Tahmin fazla (overpredict)
26,MEATS,280.3561053068845,280.7991202179019,inf,Tahmin fazla (overpredict)
26,PERSONAL CARE,161.26662777129522,161.06281867997146,inf,Tahmin fazla (overpredict)
26,POULTRY,162.66041401283547,165.13463818009797,inf,Tahmin fazla (overpredict)
27,CLEANING,792.0793465577597,799.3876768601815,inf,Tahmin fazla (overpredict)
27,DAIRY,795.7613768961494,799.5242385889089,inf,Tahmin fazla (overpredict)
27,DELI,250.209187327888,253.1932420815548,inf,Tahmin fazla (overpredict)
27,EGGS,211.36289381563597,213.06993323556745,inf,Tahmin fazla (overpredict)
27,GROCERY II,21.78646441073512,20.61477580880687,inf,Tahmin fazla (overpredict)
27,PERSONAL CARE,204.01516919486585,206.5776170600037,inf,Tahmin fazla (overpredict)
27,POULTRY,378.3784720828471,379.2474137073308,inf,Tahmin fazla (overpredict)
27,PREPARED FOODS,89.71270366569429,87.82198123754,inf,Tahmin fazla (overpredict)
28,CLEANING,1021.0373395565928,1032.685695994304,inf,Tahmin fazla (overpredict)
28,DELI,337.5733102928822,340.7373024096173,inf,Tahmin fazla (overpredict)
28,MEATS,196.06825718086347,197.29176390321663,inf,Tahmin fazla (overpredict)
28,PERSONAL CARE,299.0886814469078,302.4136735969578,inf,Tahmin fazla (overpredict)
28,PREPARED FOODS,64.68941890140023,63.86599634613299,inf,Tahmin fazla (overpredict)
31,BREAD/BAKERY,467.1901983663944,467.3427124530957,inf,Tahmin fazla (overpredict)
31,CLEANING,1250.6021003500584,1256.7722432680932,inf,Tahmin fazla (overpredict)
31,DAIRY,590.6353558926488,594.7269306702018,inf,Tahmin fazla (overpredict)
31,DELI,246.91723138448077,249.36577891763767,inf,Tahmin fazla (overpredict)
31,MEATS,305.39555056242705,305.20912277193924,inf,Tahmin fazla (overpredict)
31,POULTRY,138.44008619428237,139.24643251093457,inf,Tahmin fazla (overpredict)
31,PREPARED FOODS,72.50991831738624,70.24099077370477,inf,Tahmin fazla (overpredict)
32,BREAD/BAKERY,99.6487747957993,101.87394153862532,inf,Tahmin fazla (overpredict)
32,CLEANING,450.7345390898483,448.99598930083016,inf,Tahmin fazla (overpredict)
32,DAIRY,144.18319719953325,145.72764624218007,inf,Tahmin fazla (overpredict)
32,DELI,97.00116686114352,97.66009931543144,inf,Tahmin fazla (overpredict)
32,EGGS,133.98658109684948,134.1338948010846,inf,Tahmin fazla (overpredict)
32,FROZEN FOODS,29.787194234247377,28.578254391483437,inf,Tahmin fazla (overpredict)
32,MEATS,59.71160469428238,59.74086914142909,inf,Tahmin fazla (overpredict)
32,PERSONAL CARE,99.7147024504084,101.2885917933455,inf,Tahmin fazla (overpredict)
32,POULTRY,63.5889679428238,62.01151048663071,inf,Tahmin fazla (overpredict)
33,BREAD/BAKERY,274.91773628938154,279.0521892839967,inf,Tahmin fazla (overpredict)
33,EGGS,170.12193698949824,173.1605488603853,inf,Tahmin fazla (overpredict)
33,"LIQUOR,WINE,BEER",64.86522753792299,63.248713149924754,inf,Tahmin fazla (overpredict)
33,PERSONAL CARE,238.81971995332557,241.28492290946627,inf,Tahmin fazla (overpredict)
33,POULTRY,212.0408567742124,211.15424174522883,inf,Tahmin fazla (overpredict)
33,PREPARED FOODS,37.20128354725787,36.16248713765948,inf,Tahmin fazla (overpredict)
34,CLEANING,913.8885647607934,908.189222425416,inf,Tahmin fazla (overpredict)
34,EGGS,114.70828471411902,115.27492278743968,inf,Tahmin fazla (overpredict)
